Timestamp,study,Journal,Study #,Start Date,End Date,Country,Region,Study Design,Setting,Sample,Is this a special population?,Age,Age (measure),Female patients (n),Disease Severity,ARDS (n),Mechanical Ventilation (n),ICU (n),Smokers (n),COPD (n),Cardiovascular disease (n),Diabetes (n),Testing,Method,Provide detail about testing methods - can cut and paste from text,clinical_def,body_site,patients,Type,coinfection,secondary_infection,Were bacteria names specified?,Mycoplasm,Chlamydia,S aureus,S pneumo,Enterococcus faecium species?,Haemophilus species?,Pseudomonas,Klebsiella,E. coli,Acinetobacter,Enterobacter,Enterococcus spp,CNST,Citrobacter,Moraxella ,Stenotrophomonas,Serratia,Strep non-pna,Legionella,Proteus spp.,Other GN,Other GP,Other not reported,Other bacteria and their numbers?,corticosteroids,il_6_inhibitors,abx,Critical Appraisal 1: Was the studys target population a close representation of the national population in relation to relevant variables?,Critical Appraisal 2: Was the sampling frame a true or close representation of the target population?,"Critical Appraisal 3: Was some form of random selection used to select the sample, OR was a census undertaken?",Critical Appraisal 4: Was the likelihood of nonresponse bias minimal?,Critical Appraisal 5: Were data collected directly from the subjects (as opposed to a proxy)?,Critical Appraisal 6: Was an acceptable case definition used in the study?,Critical Appraisal 7: Was the study instrument that measured the parameter of interest shown to have validity and reliability?,Critical Appraisal 8: Was the same mode of data collection used for all subjects?,Critical Appraisal 9: Was the length of the shortest prevalence period for the parameter of interest appropriate?,Critical Appraisal 10: Were the numerator(s) and denominator(s) for the parameter of interest appropriate?,quality score,bias,Do all patients included have laboratory-confirmed SARS-CoV-2 infection? (If not - study should be excluded),Measured both CoI and Secondary?,Number of Other immunomodulators?
22/05/2021 22:17,"Kolenda C, 2020",Open Forum Infectious Diseases,17197,01/03/2020,15/04/2020,France,Europe,Prospective Cohort,Hospital ICU,99,ICU patients,,not available,,Critical,,,99,,,,,specified,culture,"All specimens were subjected to Gram staining, and conventional cultures were performed by inoculating blood, chocolate, and McConkey or Bromocresol Purple or Drigalski agar plates according to the hospital, incubated at 35°C in an aerobic atmosphere, and enriched with 5% CO2 for blood agar plates for 2 days. Microorganisms that grew in significant amounts according to the guidelines of standard laboratory procedures [5] were identified using matrix-assisted laser desorption ionization time-of-flight mass spectrometry (VITEK MS, bioMérieux, Marcy lEtoile, France; or Biotyper-Microflex, Bruker Daltonics, Billerica, MA). Susceptibility testing was performed using VITEK 2 (bioMérieux), BD Phoenix M50 (Becton Dickinson, Franklin Lakes, NJ), or disk diffusion method as recommended by CASFM/EUCAST. In parallel, the BioFire, FA-Pneumo assay was performed according to the manufacturers instructions from 200 µL sample. Results obtained from the 2 approaches
were compared for detection of bacteria and antibiotic resistance. Sensitivity and specificity of FA-Pneumo for bacterial identification were assessed considering culture as the gold
standard.",N,Respiratory,99,Co-infection,15,,Yes,0,0,7,2,0,4,0,0,0,,,,,,1,,,,1,,2,,,"Enterobacteriacae (2), Moraxella catarrhalis (1), Legionella pneumophilia (1)",,,72,No or unclear,No or unclear,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,moderate,Yes,,
26/05/2021 11:09,"Piroth L, 2021",Lancet Respir Med,17287,01/03/2020,30/04/2020,France,Europe,Retrospective Cohort,Hospital,89530,,68,Median,42035,All combined,24317,8684,14585,,1433,,17050,unspecified,unspecified,,N,Respiratory,89530,Co-infection,6286,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,5,moderate,Yes,,
09/06/2021 0:00,"Barry M, 2020",Journal of Epidemiology and Global Health,17325,22/03/2020,06/06/2020,Saudi Arabia,Middle East,Retrospective Cohort,Hospital,99,,44,Mean/Average,36,All combined,,13,22,,7,12,31,specified,culture,"Nine patients had positive bacterial cultures, two from sputum (Stenotrophomonas maltophilia and Klebsiella pneumoniae) and seven from blood (Enterococcus faecalis, n = 1; Staphylococcus epidermidis, n = 4; Corynobacterium amycolatum, n = 1; and Bacillus pumilus, n = 1)",N,Respiratory and Blood,99,Co-infection,9,,Yes,,,0,,0,,0,1,,,,1,4,,,1,,,,,,2,,"Sputum; stenotrophomonas maltophilia = 1, Blood; Enterococcus faecalis =1; Staphylococcus epidermidis = 4; Corynobacterium amycolatum = 1; Bacillus pumilus = 1",8,4,53,No or unclear,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,Yes,4,high,Yes,,
08/06/2021 18:06,"Bartoletti M, 2021",Clinical Microbiology and Infection,17331,22/02/2020,30/06/2020,Italy,Europe,Retrospective Cohort,Hospital,513,,71,Mean/Average,176,Severe,,209,116,,83,62,68,unspecified,unspecified,,Y,Respiratory and Blood,513,Secondary Infection,,68,No,,,,,,,,,,,,,,,,,,,,,,,,,170,,312,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,5,moderate,Yes,,
07/06/2021 17:13,"Liu Z, 2021",Clinical Microbiology and Infection,17332,29/12/2019,15/02/2020,China,Asia,Retrospective Cohort,Hospital,646,,57,Median,325,All combined,,117,82,,8,33,90,specified,culture,"Nosocomial infection was diagnosed when the patients had clinical symptoms or signs of pneumonia or bacteremia and positive culture of pathogens from lower respiratory tract specimens (the sputum, transtracheal aspirates, bronchoalveolar lavage fluid) and/or from blood samples taken 48hr after admission.",Y,Respiratory and Blood,646,Secondary Infection,,25,No,,,,,,,,,,,,,,,,,,,,,,,,,158,,598,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,low,Yes,,
17/05/2021 22:32,"Gavin W, 2021",American Journal of Infection Control,17429,01/03/2020,31/03/2020,United States,North America,Retrospective Cohort,Hospital,140,,60,Mean/Average,68,All combined,,53,,10,28,27,51,unspecified,unspecified,"""Secondary bacterial infection which included pneumonia and bacteremia...""",N,Respiratory and Blood,140,Secondary Infection,,27,No,,,,,,,,,,,,,,,,,,,,,,,,,44,6,,Yes,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,6,moderate,Yes,,"hydroxychloroquine, 109"
07/06/2021 15:10,"Maes M, 2021",Critical Care,17486,15/03/2020,30/08/2020,United Kingdom,Europe,Retrospective Cohort,Hospital ICU,81,,62,Median,25,Critical,63,81,81,,16,,18,specified,culture or NAAT,VAP was defined using a modification of the European Centre for Disease Control definitions [17] for quantitative BAL culture (termed PN1) or quantitative endotracheal aspirate (ETA) or sputum culture (termed PN2) definitions of pneumonia (see Fig. 1). The modifications were to use polymerase chain reaction (PCR) positivity by TAC for BAL fluid (details below) and to use a threshold of???105 Colony Forming Units (CFU)/ml for endotracheal aspirate in keeping with UK standards [18],Y,Respiratory,81,Secondary Infection,,39,Yes,,,2,,,4,7,10,5,,4,,,2,,4,6,,,1,1,,,"Burkholderia=1, Citrobacter=2, Enterobacter asburiae=1, E. cloacae=3, P. mirabilis=1, Serratia=6, Steno=4",13,,76,No or unclear,No or unclear,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,6,moderate,Yes,,
09/05/2021 22:12,"Obata R, 2020",Japanese Journal of Infectious Diseases,17557,31/03/2020,15/05/2020,United States,North America,Retrospective Cohort,Hospital,226,,63.3,Mean/Average,97,All combined,,40,56,66,17,45,73,specified,culture,No details reported in study.,N,Respiratory and Blood,226,Secondary Infection,,15,Yes,0,0,5,0,0,0,1,3,3,,,,,,,2,,1,,,,,,Viridans Streptococci = 1 blood; Streptomonas multophilia = 2 resp,57,23,139,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,,
09/05/2021 21:42,"Rouze A, 2021",Intensive Care Med,17588,01/03/2016,31/05/2020,"Europe (France, Spain, Greece, Portugal, Ireland)",Europe,Retrospective Cohort,Hospital ICU,568,,64,Median,235,Critical,386,568,568,29,37,103,168,specified,culture,"Additionally, all episodes of infection needed microbiological confirmation,
with the isolation in the endotracheal aspirate of at least 10 5 colony-forming units (CFU) per mL, or in bronchoalveolar lavage of at least 10 4 CFU per mL. Microbiological identification and susceptibility tests were performed using standard methods.",Y,Respiratory,568,Secondary Infection,,287,Yes,0,0,35,8,,3,64,33,24,,,,,,,,,,,,,,,"Streptococcus spp. = 4; Enterobacter = 54; Acinetobacter = 21; Stenotrophomonas maltophilia =10; Serratia = 9; Citrobacter freundii = 6; Citrobacter spp = 8; Proteus mirabilis = 5; Morganella morganii = 3, Other = 15, Enterococcus spp=9",202,,506,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,,
15/06/2021 1:29,"Bardi T, 2021",European Journal of Clinical Microbiology & Infectious Diseases,17590,01/03/2020,30/05/2020,Spain,Europe,Retrospective Cohort,Hospital ICU,140,Outcome of ICU-acquired infections,61,Median,32,Critical,83,134,140,,10,20,28,specified,culture,"We only included in the study cases with confirmed infection, defined by the presence of a positive culture. Conventional microbiological testing (tracheal aspirate, blood and urine cultures) was requested by the treating physician when infection was suspected, and was not protocolized.",Y,Respiratory and Blood,140,Secondary Infection,,51,Yes,,,10,,16,1,13,1,,,1,24,17,,,3,,,,,2,,,"Bacteroides=1, CNST=17, E cloacae=1, E faecalis=8, E. faecium=16,Hafnia alvei=1, PsA=13, Steno=3",127,96,120,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,8,low,Yes,,
20/05/2021 11:04,"Chamorro-de-Vega E, 2021",Expert Review of Clinical Pharmacology,17662,01/03/2020,24/03/2020,Spain,Europe,Retrospective Cohort,Hospital,162,All patients who received tocilizumab,64,Median,48,All combined,,78,92,10,10,43,42,unspecified,unspecified,used clinical data,N,Respiratory and Blood,162,Secondary Infection,,52,No,,,,,,,,,,,,,,,,,,,,,,,,,122,162,157,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,5,moderate,Yes,,122
07/06/2021 15:46,Pettit N 2020,Journal of Medical Virology,17724,01/03/2020,25/05/2020,United States,North America,Retrospective Cohort,Hospital,148,,65.5,Mean/Average,72,Severe,,48,104,,,55,52,specified,culture,"Infection, other than SARS?CoV?2, was defined as a positive culture or nucleic acid amplification test (NAAT) for which directed therapy was initiated.",Y,Respiratory and Blood,148,Secondary Infection,,11,Yes,0,0,7,0,0,0,3,0,1,1,1,,1,,,,1,,,,1,,,Enterobacter = 1; Acinetobacter = 1; Burkholderia = 1; Serratia = 1; Coagulase negative Staph = 1,,74,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,,
23/05/2021 17:52,"Lardaro T, 2020",Journal of Medical Virology,17838,01/03/2020,13/04/2020,United States,North America,Retrospective Cohort,Hospital,542,,62.8,Mean/Average,273,All combined,,162,86,43,68,,218,specified,culture,"All blood culture results wereinitially documented as negative, positive (any bacterial growth inany bottle), or not done. Since some positive blood cultures can becaused by skin contaminants not causing any infection, all positivecultures were adjudicated by two authors as either true positive orcontaminants. Criteria to determine true positive versus con-taminant were predefined. Institutional protocol directs the collec-tion of four bottles (two from each of two different sites) whendrawing blood cultures. Any case in which more than two of fourbottles grew bacteria were considered true positives. Any patientwith repeat blood cultures that were positive was considered truepositive. The growth of bacteria outside of typical skin flora (such asstaphylococcus or streptococcus) was generally considered true posi-tive. If a positive in <3 of four bottles was noted to be a probablecontaminant in the provider notes or infectious disease consultationnotes, and if antibiotics were discontinued before 5 days of treat-ment, growth was classified as a false positive. In cases of disagreement, the discrepancy was resolved through discussion oradjudicated by a third author. Patients in whom no blood cultureswere drawn within 72 h were classified as not bacteremic. Patientswith positive culture results were thus divided into true positivebacteremia versus contaminant. We defined associations betweenclinical variables and true positive blood cultures and comparedclinical outcomes between those with and without true positiveblood cultures.We also assessed respiratory cultures drawn in the first 72 h.Since it is more difficult to define a true positive respiratory cultureversus contaminant or carrier state, all respiratory cultures withbacterial growth were considered true pathogens if the admittingteam treated them as such, and incidental (not causing the infection)if the care team noted the findings to be likely noninfectious and thepatient was successfully treated without antibiotics",Y,Respiratory and Blood,542,Not-specified,20,,Yes,0,0,0,0,0,0,0,,,1,,2,3,,,,,,,,,3,,"CNST (3), Acinetobacter radioresistance (1), Corynebacterium striatum (1), E faecalis (2), Globicatella (1), Aerococcus spp (1) ** only bloodstream bacteria identified (authors did not report resp isolates); some bloodstream infections were polymicrobial (thus, add up to more than # of bacteremias, 6)",,,,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,9,low,Yes,,
30/04/2021 10:42,"Garcia-Vidal C, 2021",Clinical Microbiology and Infection,17894,28/02/2020,22/04/2020,Spain,Europe,Retrospective Cohort,Hospital,989,,62,Median,437,All combined,,,146,,108,138,103,specified,culture,"Bacterial respiratory infection was diagnosed in patients with one or more positive cultures of respiratory pathogens obtained from blood, pleural fluids, good quality sputum (>25 polymorphonuclear leukocytes and <25 epithelial cells) and bronchoalveolar lavage, and/or a positive urinary antigen test. S. pneumoniae antigen in urine was detected with
a rapid Standard F S. pneumoniae Ag fluorescent immunoassay",Y,Respiratory and Blood,989,Secondary Infection,,38,Yes,,,5,,3,,7,2,2,,,,7,,,4,1,1,,,,,,"Co-I: Spna=12, Sa=6, H flu=2, Mcat=1, PsA=2; 
ONLY INCLUDED HA as it is the larger group: HA-i: Sa 5, Steno 4, PsA 7, Kpn=2, Smarc=1, Ecoli=2, E. faecium=3, S ang=1, CNST=7",307,221,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,low,Yes,,
15/06/2021 21:00,"Rodriguez Garcia JL, 2021",Rheumatology,17973,15/03/2020,26/04/2020,Spain,Europe,Prospective Cohort,Hospital,112,,63.4,weighted mean,34,Severe,,54,,,,,21,unspecified,unspecified,blood and UAT,N,Respiratory and Blood,112,Secondary Infection,,3,Yes,,,,1,,,,,,,,,2,,,,,,,,,,,methicillin-resistant S. epidermidis bacteremia treated with vancomycin x2 patients. The other bacterial infection was described as S. pneumoniae diagnosed with urine antigen so I did not count that.,112,0,,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,Yes,8,low,Yes,,baricitinib 62
15/06/2021 22:17,"Javanian M, 2021",Bratisl Med J,17982,01/03/2020,20/04/2020,Iran,Middle East,Retrospective Cohort,Hospital,557,,60.2,Mean/Average,252,All combined,8,,,,18,131,161,unspecified,unspecified,"""VAP""",Y,Respiratory,557,Secondary Infection,,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,Yes,No or unclear,Yes,5,moderate,Yes,,
30/04/2021 9:48,"Llitjos J-F, 2021",Annals of Intensive Care,18015,01/03/2020,30/06/2020,France,Europe,Retrospective Cohort,Hospital ICU,176,Critically Ill,63,Median,42,Critical,170,176,176,,17,,45,specified,culture,Patients with clinically suspected ICU-acquired pneumonia were subjected to a tracheobronchial aspirate or broncho-alveolar lavage with direct Gram staining and semi-quantitative culture,Y,Respiratory,176,Co-infection,21,,No,,,,,,,,,,,,,,,,,,,,,,,,"GNB 11, GPC 10",12,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,low,Yes,,
08/06/2021 21:38,"Karami Z, 2021",Infectious Diseases,18050,02/03/2020,22/05/2020,Netherlands,Europe,Retrospective Cohort,Hospital,925,,70,Median,334,All combined,,,166,,,,,specified,"blood or sputum culture, urinary antigen for S pneumo or Legionella","Bacterial co-infection was defined as the isolation of a bacterium from a blood or sputum culture and/or a positive pneumococcal urinary antigen test (PUAT) or Legionella antigen test (LUAT). For a positive sputum culture to be included as a bacterial co-infection, the treating physician should have considered the bacterium cultured to be clinically relevant and not as a colonizer.

Blood culture growing typical skin contaminants from blood cultures were excluded [15]. Type of infection was based on the interpretation of the treating physician.

There were no specified criteria for microbiological sampling. The early phase was defined as the first 7 calender days of admission with day 1 being the presentation at the emergency room or the day of first clinical suspicion in already admitted patients",Y,Respiratory and Blood,925,Co-infection,12,,Yes,0,0,6,1,0,2,0,1,2,,,,,,,1,,,,,,,,"Sputum = S maltophilia (1), H parainfluenzae (1)",,,669,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,,
15/06/2021 21:49,"Papamanoli A, 2021",Eur J Clin Invest.,18067,01/03/2020,15/04/2020,United States,North America,Retrospective Cohort,Hospital,447,,61.3,weighted mean,156,All combined,,171,202,,48,67,147,specified,culture,Bacteremia was defined based on positive blood cultures; microbes isolated only once and be-longing to commensal skin microbiota groups were considered contaminants. Nosocomial pneumonia was defined as positive sputum cultures ?48? hours after admission; fungi isolated from sputum were considered colonization unless associated with fungemia.,Y,Respiratory and Blood,447,Secondary Infection,,81,No,,,,,,,,,,,,,,,,,,,,,,,,,153,108,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,,
10/06/2021 14:01,"Galvez-Romero JL, 2020",Journal of Internal Medicine,18140,15/04/2020,31/05/2020,Mexico,North America,Prospective Cohort,Hospital,209,,55,Median,71,All combined,,,,,12,,65,unspecified,unspecified,,N,Unclear,209,Secondary Infection,,47,No,,,,,,,,,,,,,,,,,,,,,,,,,209,,,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,9,low,Yes,,
26/05/2021 15:49,"Sĝgaard KK, 2021",Journal of Intensive Care,18172,25/02/2020,31/05/2020,Switzerland,Europe,Retrospective Cohort,Hospital,162,,64.4,Median,63,All combined,,34,41,,,,,specified,culture,"For the diagnostics of bacterial and fungal pathogens, culture plates including Columbia sheep blood agar (Becton Dickinson GmbH, BD), Colistin Nalidixic Acid blood agar for Gram positive bacteria (BD), and Haemophilus chocolate agar (bioMérieux) and MacConkey (BD) for Gram negatives were inoculated. In the case of additional requests, such as Legionella spp. or moulds, specific selective plates for the pathogens were inoculated (BMPA (BD) and Sabouraud Dextrose Agar (BD), respectively). The incubation times and conditions varied for specific pathogens. We used MALDI-TOF mass spectrometry (Bruker, microflexTM or MALDI BiotyperTM; MBT 8468 MSP Library, BDAL V9.0.0.0_7854-8468) for identification of bacterial or fungal species. In patients with suspicion of fungal infection, in-house real-time PCR for Aspergillus spp. or galactomannan antigen was supplementing culture.",Y,Respiratory and Blood,162,Secondary Infection,1,23,Yes,0,0,2,1,0,1,3,3,3,1,1,,1,1,,1,1,,,,,,,"Serratia =1 , Citrobacter = 1, Stenotrophomonas = 1, Acinetobacter = 1, Enterobacter = 1, S. epi=1",,,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,Y CoI=1,
23/05/2021 21:04,"Goncalves Mendes Neto A, 2021",Journal of Medical Virology,18227,01/03/2020,24/04/2020,United States,North America,Retrospective Cohort,Hospital,242,,66,Mean/Average,119,All combined,,54,,,30,45,119,specified,culture,"Bacterial coinfection was determined by thepresence of characteristic clinical features and positive blood, sputum, urine, or tissue culture results",Y,Respiratory and Blood,242,Not-specified,4,,No,,,,,,,,,,,,,,,,,,,,,,,,,55,21,162,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,4,high,Yes,,
23/05/2021 23:18,"Nebreda-Mayoral T, 2021",Enferm Infecc Microbiol Clin,18269,01/03/2020,31/05/2020,Spain,Europe,Retrospective Cohort,Hospital,712,With coinfections?,73,Median,292,All combined,,,,,,,,specified,"blood and resp cultures, urinary antigen for S pneumo","Translated: The diagnosis of infection was based on the clinical symptoms, the isolation of an etiological agent and the assessment of the group of clinicians responsible for the patient. Bacteremia / fungemia was defined as the isolation of a pathogen in one or more blood cultures and for microorganisms of the skin flora, its growth was assessed in two or more blood cultures extracted by different routes. For catheter-associated bacteremia (CAB), the isolation of the same microorganism in blood and at the catheter tip (count ? 103 CFU) from samples obtained in parallel or in two blood cultures taken simultaneously from the catheter and by venipuncture was assessed. Respiratory infection (IR) was considered the significant isolation of a potentially pathogenic microorganism in a bronchoalveolar lavage (BAL), in a bronchial aspirate (BAS) or in a titratable sputum (> 25 PMN and <10 epithelial cells × 100) or the detection in urine of the antigen of Streptococcus pneumoniae by immunochromatography using BinaxNOW (Abbot Diagnostics Scarbourg, Maine, USA). For the diagnosis of invasive pulmonary aspergillosis, the algorithm of Armstrong-James et al.21 was followed. Urinary tract infection (UTI) was defined as the significant isolation19 of a micro-organism in the urine sample of a patient with signs and / or symptoms of infection. The diagnosis of skin and soft tissue infection (IPPB) was based on the Gram stain (PMN and presence of bacteria or fungi) and the agreement with the result of the culture.",Y,Respiratory and Blood,712,Co-infection,25,80,Yes,0,0,7,6,0,2,0,3,4,,,1,,,,,,,,,,,2,"E faecalis (1), other =2 - secondary infections: E coli =2, KKleb =6, Aba=23, PsA=12, steno=2, other=11, S aureus=9, E. faecium =6, CNST=14

** can't tell if the bacteremic patients are the same as the bacterial pneumonia patients; so may want to remove bacteremia patients",,,,Yes,Yes,No or unclear,No or unclear,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,5,moderate,Yes,Y SI = 80,"interferon B (53), anakinra (2)"
10/05/2021 10:51,"Salama C, 2021",N Engl J Med,18309,14/05/2020,30/09/2020,"United States, Mexico, Kenya, South Africa, Peru, Brazil",Multiple,Randomized Controlled Trial,Hospital,377,,55.9,Mean/Average,154,All combined,,36,58,86,17,7,153,unspecified,unspecified,No details reported in study.,N,Respiratory,377,Secondary Infection,,2,No,,,,,,,,,,,,,,,,,,,,,,,,,312,249,,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,Yes,No or unclear,6,moderate,Yes,,
08/05/2021 21:51,"Kumar G, 2021",International Journal of Infectious Diseases,18360,01/03/2020,05/08/2020,United States,North America,Retrospective Cohort,Hospital,1565,,62,weighted average,761,All combined,,247,480,,462,,618,specified,culture,"Culture data were reviewed to ascertain the presence of infection. Infections were classified as respiratory (tracheal aspirate, bronchoalveolar lavage), blood, urine, and other (body fluids such as pleural cavity, abdominal cavity). The CDC definition of HAIs in the acute care setting was used. It was deemed that an HAI was present if cultures were positive and obtained after 3 days of hospital admission.",Y,Respiratory and Blood,1565,Secondary Infection,,59,Yes,0,0,23,0,0,0,17,9,9,2,9,,10,1,,2,5,9,,4,,,,"Staph hominis = 1 blood, 1 resp; Staph epidermidis = 4 blood, 4 resp; Group D Streptococcus = 5 blood, 4 resp; Serratia = 2 blood, 3 resp; Enterobacter = 3 blood, 6 resp; Proteus = 2 blood, 2 resp; Citrobacter = 1 resp; Acinetobactor = 2 resp; stenotrophomonas = 1 blood, 1 resp",655,215,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,8,low,Yes,,
10/05/2021 8:22,"Zhang L, 2020",Aging,18467,13/01/2020,27/02/2020,China,Asia,Retrospective Cohort,Hospital,222,,51.5,Median,132,All combined,54,,93,26,19,44,24,unspecified,unspecified,"""bacterial infection""",Y,Unclear,222,Secondary Infection,,12,No,,,,,,,,,,,,,,,,,,,,,,,,,55,,138,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,5,moderate,Yes,,
10/06/2021 16:20,"Cobos?Siles M, 2020",Internal and Emergency Medicine,18651,18/03/2020,21/04/2020,Spain,Europe,Retrospective Cohort,Hospital,128,Fatal COVID-19,84,Median,55,All combined,93,38,26,,10,21,40,unspecified,unspecified,,N,Unclear,128,Secondary Infection,,3,No,,,,,,,,,,,,,,,,,,,,,,,,,34,4,122,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,6,moderate,Yes,,
17/06/2021 14:05,"Bahl A, 2020",Internal and Emergency Medicine,18660,01/03/2020,23/04/2020,United States,North America,Retrospective Cohort,Hospital,1461,,62,Median,691,All combined,,308,374,338,132,163,430,specified,culture,"Of the 237 patients classified as septic shock, only 30 patients (12.65%) had positive blood cultures. 25 patients had blood cultures that identified a bacterial source",N,Blood,1461,Co-infection,25,,No,,,,,,,,,,,,,,,,,,,,,,,,,617,,,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,6,moderate,Yes,,
26/05/2021 19:54,"Rojas-Marte G, 2020",QJM,18863,08/03/2020,25/04/2020,United States,North America,Retrospective Cohort,Hospital,193,,60.4,Median,56,All combined,,121,,2,11,,67,unspecified,unspecified,,N,Blood,193,Not-specified,35,,No,,,,,,,,,,,,,,,,,,,,,,,,,73,96,176,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,,
19/05/2021 17:07,"Annane D, 2020",EClinicalMedicine,18874,10/03/2020,05/05/2020,France,Europe,Prospective Cohort,Hospital ICU,80,,59.5,59.5 (mean of ages provided in the treatment and control groups),24,Critical,,52,80,,3,15,,specified,culture,"From case report forms in supplement - "". Samples for bacterial cultures were obtained by bronchoalveolar lavage""",N,Respiratory and Blood,80,Not-specified,31,,Yes,,,4,2,,,12,5,,,5,6,1,,,1,,4,,,3,,,Enterobacter c (5); E Faecalis (6); Burkholderia (1); Serratia (4); Morganella (2); CNST (1); Stenotrophomonas (1),9,,,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,7,moderate,Yes,,35 patients received Eculizumab
26/05/2021 0:28,"Ripa M, 2020",Clin Microbiol Infect,18894,25/02/2020,19/05/2020,Italy,Europe,Retrospective Cohort,Hospital,731,,64,Median,235,All combined,,,45,,47,173,130,specified,culture,"Blood culture samples were processed in bioMérieux Virtuo BacT/Alert system, respiratory samples were inoculated in specific growth media (according to site protocol) and identified using MALDI-TOF MS (VITEK-MS, bioMérieux). The Platelia Aspergillus immuno-enzymatic assay was used to detect galactomannan.",Y,Respiratory and Blood,298,Secondary Infection,,56,Yes,0,0,3,0,29,0,10,4,5,9,5,40,53,,,2,,,,,2,1,,"CNST =53. E faec =11, clostridium=1, Aba=9, Eclo=5, PsA=9, Ps putida =1, Steno=2, Pantoea agglom=1, Fuso ncl =1",483,62,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,9,low,Yes,,"anakinra 54, Mavrilimumab 13, sarilumab 25-included in toci"
10/05/2021 7:15,"Wu B, 2020",Infectious Diseases of Poverty,18940,22/01/2020,21/04/2020,China,Asia,Retrospective Cohort,Hospital,91,,50,Median,39,All combined,9,10,9,,,5,5,unspecified,unspecified,No details reported in study.,Y,Unclear,91,Secondary Infection,,14,No,,,,,,,,,,,,,,,,,,,,,,,,,13,,12,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,6,moderate,Yes,,
07/06/2021 14:21,"Li J, 2020",Antimicrobial Resistance and Infection Control,19015,27/01/2020,17/03/2020,China,Asia,Retrospective Cohort,Hospital,1479,,66.2,Median,,severe-critical,,,,,,,,specified,culture,"Pathogen identification and antimicrobial susceptibility testing were carried out on the Phoenix-100 automatic microbiological system (BD Corporation, USA). In some further antimicrobial susceptibility testing, the international Kirby-Bauer method was also used. All the results were interpreted according to the criteria of the Clinical and Laboratory Standards Institute (CLSI 2019)",N,Respiratory and Blood,1479,Secondary Infection,,96,Yes,,,3,,4,,7,49,5,56,,,9,,,10,,,,,5,5,,"A baumanii=56, Steno maltophilia=10, other GNB=5, CNST=9, Other GP=5",,,,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,Yes,Yes,Yes,No or unclear,5,moderate,Yes,,
